id,video_id,author,comment,published_at,like_count
1355,-KsRykeuudE,@SuperMakasha,"Amen Amen Amen 🙇‍♂️
E LLLLLLLLLLLLLL😍
E LLLLLLLLLLLLLL😘
E LLLLLLLLLLLLLLL🥰🛐🌴🌳❤💝💞🙏🙏",2021-11-14T23:14:51Z,0
2124,XHsk5jQqo_w,@mhiretAgirma,ግሩም ነው❤ ዝማሬ መላእክት  ያሰማልን🙏,2021-11-14T02:26:52Z,0
1014,juUIXJ_JAfg,@اميرهاميره-ف4ص,ለሀገራችን ሠላምን ለህዝቦቿ ፍቅርን ይላክልን,2021-11-10T11:00:01Z,0
1015,juUIXJ_JAfg,@اميرهاميره-ف4ص,አሜን አሜን አሜን,2021-11-10T10:59:26Z,0
2247,TPoTmMzfMFM,@Mama-zw8hv,አሜን አሜን አሜን ቃለ ህይወት ያሠማልን,2021-11-10T08:34:20Z,0
1356,Au5HPUDpzgo,@teferigebreyohannes6741,"ግሩም ነው!
ስላስተላለፋችኹልን በጣም እናመሰግናለን!
ቅዱስ አማኑኤል ክብር ይስጥልን!",2021-11-07T20:09:41Z,0
1016,Wo4X7pfEL2Q,@sisaywoldetsadic631,Amen,2021-11-06T02:25:34Z,0
2142,NowX1mfv84E,@azzezeasemuu3079,ዝማሬ መላእክት ያሰማልን,2021-11-04T10:22:12Z,0
1357,vRWzsIZTOYs,@eyuelyonas2550,እልልልልልልልልል,2021-11-02T01:11:02Z,0
1358,OQq4HEkqpC4,@zt9549,🛖🌿🌲🕊,2021-10-31T13:58:26Z,0
2163,mIqWp2Yfml0,@natnaelgirma6477,Egziabher yebearlen kale hewet yasemaln netebeb bemges yasedeglen,2021-10-30T17:15:24Z,0
2164,mIqWp2Yfml0,@timotewos101,1:32,2021-10-30T12:25:33Z,1
1805,h7wCOzRdURI,@yoditezemen151,ቃለ ሕይወት ያሰማልን!!!,2021-10-28T06:32:42Z,1
1359,NgHOmbGSeLk,@JK-lp6di,ቃለ ህይወት ያሰማልን አባታችን፣ ቡራኬዎ ይድረሰን፤ ለእህታችንም ዝማሬ መላእክትን ያሰማልን።,2021-10-19T12:40:04Z,0
1361,xaMzYJOrsU4,@ኦሮሞነትኩራትነው,አሜን,2021-10-18T21:13:19Z,0
1360,NgHOmbGSeLk,@sarataye8812,ቃለ ህይወት ያሰማልን 💚💛❤️🙏🙏🙏,2021-10-18T13:48:30Z,0
1017,FtWXY1QRYLo,@messeretabebe1205,"የተከበሩ ቀሲስ በእምነት
ዛሬ የአገራችንን አስከፊ ሁኔታ ተገንዝበው ግንባር ቀደም በመሆን ስለሚያስተባብሩን ከፍ ያለ ምስግና አቀርባለሁ!
አንዱ አምላክ ይባርክዎት! 
አሜን🙏🇪🇹

ይባረኩ! አሜን",2021-10-17T18:42:29Z,0
2224,y3izW-hf8vE,@genetgenifitwi5760,እንኳን ኣደረሰን,2021-10-17T05:02:12Z,0
2248,TPoTmMzfMFM,@zt9549,🏞🐝🌿🛖🫒🕊🌿💚🕊💛🕊♥️🕊,2021-10-13T19:12:57Z,0
2249,TPoTmMzfMFM,@ashenafikassie9764,ኣሜን ኣሜን ኣሜን ቃለ ሒወት ያሰማልን  መምህራቺን,2021-10-12T10:07:34Z,1
2211,EJkoKPsmkSA,@ገነትነኝየማርያምልጅ,🥰🥰🥰🥰🙏🙏,2021-10-11T06:33:22Z,0
2125,XHsk5jQqo_w,@muluebrhannuguse4099,ንፉዕ,2021-10-06T19:43:09Z,0
2204,zkzxNKoe970,@temeteme2608,ዝማሬ መላእክትን ያሰማልን!,2021-10-03T11:39:35Z,0
2293,nXnalMROyTo,@mussietesfalem2662,ዕዝል አቡን ዓራራይ ሰላም ጨምርልን,2021-10-01T13:49:38Z,0
1019,UMWjwrdKI14,@zuzuyodyvideos4189,thanks Kesis..,2021-09-30T01:32:39Z,0
2294,nXnalMROyTo,@Seniwelda121,ቃለ ህይወት ያሰማልን እጅግ ግሩም ነው ረጅም እድሜ ከጤና ይስጥልኝ,2021-09-28T23:00:43Z,0
1020,cFVIDxIRqoI,@emihaile1626,ምፅአቱን አስቡ,2021-09-25T01:08:31Z,0
2295,nXnalMROyTo,@esromhailemichael5749,የኣገልግሎት ዘመናችሁ የተባረከ ይሁን,2021-09-23T09:47:37Z,1
1652,NEqRNY-V_OM,@eliasejigu7924,የኔታ ቃለ ሕይወት ያሠማልን ።ፀጋውን ያብዛሎት ።,2021-09-20T18:48:26Z,2
1893,yiS7SpT9pVc,@eliasejigu7924,አሜን ቃለ ሕይወት ያሠማልን ።በእድሜ በፀጋ ይጠብቅልን ።አሜን አሜን አሜን ።,2021-09-19T12:02:59Z,4
2250,TPoTmMzfMFM,@eliasejigu7924,የኔታ ቃለ ሕይወት ያሠማልን ።በእድሜ በ ፀጋ ይጠብቅልን ።ፀጋውን ያብዛሎት ።,2021-09-19T11:06:40Z,0
2296,nXnalMROyTo,@Tgistu52,ሊቀ ጠበብት ተክሌ ዝማሬ መላእክትን ያሰማልን ።,2021-09-14T05:17:05Z,3
1716,HxItWqCqQ7Q,@Seniwelda121,ቃለ ህይወት ያሰማልን !!!,2021-09-13T22:31:28Z,0
1363,M5TI3w7k1vw,@wondwossenwft,ቃለ ሕይወት ያሰማልን ::,2021-09-12T19:10:24Z,0
2330,TFNCFU6groc,@ዳዊተ,ዮሐንስ አኅድዓ እምካልአኒሁ አንሐ ወክሐ እንዘ ይብል እምላዕሉ ወረደ ቃለ አብ ወተሐውከ ማየ ዮርዳኖስ እምግርማ መለኮት ወደንገጹ ኲሉ ኃይለ ሰማያት ወምድር ከማሁ ኮነ በቢታንያ በቤተ ራማ በማዕዶተ ዮርዳኖስ ወሶበ ርእዮ ዮሐንስ ለኢየሱስ ከልሐ ወይቤ ነዋ በግዑ ለእግዚአብሔር ይቤሎ ኢየሱስ ለዮሐንስ አጥምቀኒ በማይ ከመ ይትቀደስ ማይ በማዕተበ ሰማይ አጥመቆ ዮሐንስ ለኢየሱስ በፈለገ ዮርዳኖስ እምድኅረ አጥመቀ ለሊሁ ተጠምቀ ምህሮሙ ለሕዝብ ወይቤሎሙ አክብሩ ሰንበተ ተገበሩ ጽድቀ,2021-09-11T15:44:06Z,1
1365,3QFalm28qrE,@zetewahdo21,እንኳን አብሮ አደረሰን። ዝማሬ መላእክት ያሰማልን,2021-09-10T07:41:23Z,0
2379,rH6J8aP4A-0,@edenmeasho,ዝማሬ መላእክት የስምዓልና🙏🙏🙏,2021-09-02T15:38:57Z,7
1021,_CQY_oyqgOk,@tekolayigermu4049,Orthodox is a real religion !!!,2021-09-02T01:26:45Z,1
1405,ijzI8rhe36s,@bekurelesanat,የመቼ ነው?,2021-08-30T10:52:12Z,0
1022,7opHuOM5y_8,@Amen-47,አሜን,2021-08-28T14:58:58Z,0
1023,cXrTbW06-GU,@azebresom2595,🙏,2021-08-28T01:27:24Z,0
1024,G_-TxdPfJeE,@menbilove2757,Elllll dican yared enkuan laze abke 🙏👏🏿👏🏿👏🏿👏🏿,2021-08-23T23:50:26Z,0
1105,aSzJNPnHKW4,@tasthajambar881,አሜን  አሜን አሜን,2021-08-18T13:51:09Z,1
1367,QXdFFcFoxCQ,@angsetearaya8705,Amen amen 🙏🏽,2021-08-15T19:41:03Z,0
2408,2eh9PA3uUkg,@fitsumsamry918,ቃለ ህይወት ያሰማልን,2021-08-15T06:30:51Z,8
1368,wrj7xwc8UUc,@goodlive1573,EgiziAbiher yimesigen,2021-08-14T02:30:47Z,0
1369,wrj7xwc8UUc,@goodlive1573,Amen,2021-08-14T02:30:40Z,0
1370,wrj7xwc8UUc,@goodlive1573,Amen Amen Amen,2021-08-14T02:30:32Z,0
1025,IGlQv-v7BDU,@goodlive1573,Amen,2021-08-13T21:06:24Z,0
1471,z0G5FZbVCqM,@ዳዊተ,0:01,2021-08-08T17:28:33Z,0
1548,mRKLLbYOY_4,@yalmmattli2509,ቃለሒወትያስማልን,2021-08-08T08:44:58Z,0
1485,zRACiVxaENc,@ዳዊተ,"0:24
2:01",2021-08-05T19:13:37Z,0
1371,mSghbRgPJdU,@angsetearaya8705,Amen amen 🙏🏽 ዝተባረከ ሰንበት ይግበረልና🙏🏽🙏🏽🙏🏽,2021-08-01T16:45:18Z,1
